Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Namibia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,216.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,456.0,Pesticides Use per area of cropland,Kilogram per hectare,0.8700000000000001
Eswatini,Pesticides Agricultural Use,Tonnes,Insecticides,1991,272.0,Pesticides Use per area of cropland,Kilogram per hectare,3.8
Eswatini,Pesticides Agricultural Use,Tonnes,Herbicides,1991,164.0,Pesticides Use per area of cropland,Kilogram per hectare,3.8
Eswatini,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,211.0,Pesticides Use per area of cropland,Kilogram per hectare,3.8
Eswatini,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,647.0,Pesticides Use per area of cropland,Kilogram per hectare,3.7999999999999994
South Africa,Pesticides Agricultural Use,Tonnes,Insecticides,1991,4285.0,Pesticides Use per area of cropland,Kilogram per hectare,1.26
South Africa,Pesticides Agricultural Use,Tonnes,Herbicides,1991,7618.0,Pesticides Use per area of cropland,Kilogram per hectare,1.26
South Africa,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,3504.0,Pesticides Use per area of cropland,Kilogram per hectare,1.26
South Africa,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,15407.0,Pesticides Use per area of cropland,Kilogram per hectare,1.26
Zambia,Pesticides Agricultural Use,Tonnes,Insecticides,1991,427.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Herbicides,1991,340.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,62.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,829.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zimbabwe,Pesticides Agricultural Use,Tonnes,Insecticides,1991,1805.0,Pesticides Use per area of cropland,Kilogram per hectare,2.18
Zimbabwe,Pesticides Agricultural Use,Tonnes,Herbicides,1991,1340.0,Pesticides Use per area of cropland,Kilogram per hectare,2.18
Zimbabwe,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,1097.0,Pesticides Use per area of cropland,Kilogram per hectare,2.18
Zimbabwe,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,4242.0,Pesticides Use per area of cropland,Kilogram per hectare,2.18
Angola,Pesticides Agricultural Use,Tonnes,Insecticides,1992,13.0,Pesticides Use per area of cropland,Kilogram per hectare,0.01
Angola,Pesticides Agricultural Use,Tonnes,Herbicides,1992,2.0,Pesticides Use per area of cropland,Kilogram per hectare,0.01
Angola,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,8.0,Pesticides Use per area of cropland,Kilogram per hectare,0.01
Angola,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,23.0,Pesticides Use per area of cropland,Kilogram per hectare,0.009999999999999998
Botswana,Pesticides Agricultural Use,Tonnes,Insecticides,1992,238.0,Pesticides Use per area of cropland,Kilogram per hectare,1.25
Botswana,Pesticides Agricultural Use,Tonnes,Herbicides,1992,51.0,Pesticides Use per area of cropland,Kilogram per hectare,1.25
Botswana,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,18.0,Pesticides Use per area of cropland,Kilogram per hectare,1.25
Botswana,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,307.0,Pesticides Use per area of cropland,Kilogram per hectare,1.25
Lesotho,Pesticides Agricultural Use,Tonnes,Insecticides,1992,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Herbicides,1992,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Mozambique,Pesticides Agricultural Use,Tonnes,Insecticides,1992,27.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Herbicides,1992,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Malawi,Pesticides Agricultural Use,Tonnes,Insecticides,1992,82.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Herbicides,1992,51.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,133.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Namibia,Pesticides Agricultural Use,Tonnes,Insecticides,1992,84.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Herbicides,1992,167.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,205.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,456.0,Pesticides Use per area of cropland,Kilogram per hectare,0.8700000000000001
Eswatini,Pesticides Agricultural Use,Tonnes,Insecticides,1992,277.0,Pesticides Use per area of cropland,Kilogram per hectare,3.88
Eswatini,Pesticides Agricultural Use,Tonnes,Herbicides,1992,168.0,Pesticides Use per area of cropland,Kilogram per hectare,3.88
Eswatini,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,209.0,Pesticides Use per area of cropland,Kilogram per hectare,3.88
Eswatini,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,654.0,Pesticides Use per area of cropland,Kilogram per hectare,3.88
South Africa,Pesticides Agricultural Use,Tonnes,Insecticides,1992,4266.0,Pesticides Use per area of cropland,Kilogram per hectare,1.23
South Africa,Pesticides Agricultural Use,Tonnes,Herbicides,1992,7588.0,Pesticides Use per area of cropland,Kilogram per hectare,1.23
South Africa,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,3556.0,Pesticides Use per area of cropland,Kilogram per hectare,1.23
South Africa,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,15410.0,Pesticides Use per area of cropland,Kilogram per hectare,1.23
Zambia,Pesticides Agricultural Use,Tonnes,Insecticides,1992,427.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Herbicides,1992,340.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,62.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,829.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zimbabwe,Pesticides Agricultural Use,Tonnes,Insecticides,1992,961.0,Pesticides Use per area of cropland,Kilogram per hectare,1.16
Zimbabwe,Pesticides Agricultural Use,Tonnes,Herbicides,1992,731.0,Pesticides Use per area of cropland,Kilogram per hectare,1.16
Zimbabwe,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1992,227.0,Pesticides Use per area of cropland,Kilogram per hectare,1.16
